count_reference,patern,heuristic,score,count_debts,r_master,r_rel/1.1,r_rel/1.10.0,r_rel/1.10.2,r_rel/1.2,r_rel/1.3,r_rel/1.4,r_rel/1.5,r_rel/1.6.0,r_rel/1.7.0,r_rel/1.8.0,r_rel/1.9.0,d_BUILD_DEBT,d_CODE_DEBT,d_DEFECT_DEBT,d_DESIGN_DEBT,d_DOCUMENTATION_DEBT,d_TEST_DEBT,d_UNKNOWN_DEBT,i_BRAIN_METHOD,i_BUILD_DEBT_I,i_CODE_DEBT_I,i_COMMENT_ANALYSIS,i_COMPLEX_METHOD,i_DEFECT_DEBT_I,i_DESIGN_DEBT,i_DOCUMENTATION_DEBT_I,i_DUPLICATED_CODE,i_FEATURE_ENVY,i_GOD_CLASS,i_TEST_DEBT_I,i_UNKNOWN_DEBT_I
-0.46013655443508045,-0.09420321454510451,0.2583947368410413,-0.08417690679177348,-0.474232808588931,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1
-0.46013655443508045,-0.06293978630047532,-0.22512650606148976,-0.0715163388245045,-0.474232808588931,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1
-0.46013655443508045,-0.2221787432474183,0.09544006381864115,-0.20356742407451422,-0.474232808588931,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
-0.46013655443508045,-0.33729828276502477,-0.38540979100155526,-0.34351434741163794,-0.474232808588931,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1
-0.46013655443508045,-0.3811255186219815,-0.38540979100155526,-0.3843548892415379,-0.474232808588931,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
-0.46013655443508045,-0.22042565381314003,-0.38540979100155526,-0.23460623586523816,-0.474232808588931,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1
-0.46013655443508045,-0.2642528896700968,-0.38540979100155526,-0.2754467776951381,-0.474232808588931,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1
-0.46013655443508045,-0.35190736138401035,-0.21444095373215205,-0.3484152124312259,-0.474232808588931,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
-0.46013655443508045,-0.36651644000299594,-0.38540979100155526,-0.37074137529823786,-0.474232808588931,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
-0.46013655443508045,-0.39573459724096716,-0.38540979100155526,-0.39796840318483784,-0.474232808588931,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
-0.46013655443508045,-0.33729828276502477,-0.2999253723668536,-0.33480169848792596,-0.474232808588931,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
-0.46013655443508045,-0.22773019312263282,-0.21444095373215205,-0.23270034391317618,-0.474232808588931,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1
-0.46013655443508045,-0.38843005793147434,-0.38540979100155526,-0.39116164621318783,-0.474232808588931,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
-0.46013655443508045,-0.3811255186219815,-0.38540979100155526,-0.3843548892415379,-0.474232808588931,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
-0.46013655443508045,-0.36096499012778144,-0.21444095373215205,-0.3568555910760719,-0.474232808588931,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1
